"TAXAID","OTU_IBI","Rationale"
"Limnichidae","Limnichidae","Added in case MI EGLE drops suffixs from database"
"Limnichidae (Larvae)","Limnichidae","Removed Larvae suffix"
"Limnichidae (Nolifestage)","Limnichidae","Removed suffix"
"Lymnaeidae","Lymnaeidae",
"Macromiidae","Macromiidae",
"Megaloptera","Megaloptera",
"Mesoveliidae","Mesoveliidae",
"Metretopodidae","Metretopodidae",
"Molannidae","Molannidae",
"Mollusca","Mollusca",
"Muscidae","Muscidae",
"Naucoridae","Naucoridae",
"Nematomorpha","Nematomorpha","Added in case MI EGLE drops suffixs from database"
"Nematomorpha (Roundworms)","Nematomorpha","Removed suffix"
"Nemouridae","Nemouridae",
"Neoephemeridae","Neoephemeridae",
"Nepidae","Nepidae",
"Neuroptera","Neuroptera","Added in case MI EGLE drops suffixs from database"
"Neuroptera (Spongilla Flies)","Neuroptera","Removed suffix"
"Noctuidae","Noctuidae",
"Noteridae","Noteridae","Added in case MI EGLE drops suffixs from database"
"Noteridae (Larvae)","Noteridae","Removed Larvae suffix"
"Noteridae (Nolifestage)","Noteridae","Removed suffix"
"Notonectidae","Notonectidae",
"Odonata","Odonata",
"Odontoceridae","Odontoceridae",
"Oligochaeta","Oligochaeta","Added in case MI EGLE drops suffixs from database"
"Oligochaeta (Worms)","Oligochaeta","Removed suffix"
"Oligoneuriidae","Oligoneuriidae",
"Pelecypoda","Pelecypoda","Added in case MI EGLE drops suffixs from database"
"Pelecypoda (Bivalves)","Pelecypoda","Removed suffix"
"Peltoperlidae","Peltoperlidae",
"Perlidae","Perlidae",
"Perlodidae","Perlodidae",
"Philopotamidae","Philopotamidae",
"Phryganeidae","Phryganeidae",
"Physidae","Physidae",
"Pisidiidae","Pisidiidae",
"Planorbidae","Planorbidae",
"Platyhelminthes","Platyhelminthes","Added in case MI EGLE drops suffixs from database"
"Platyhelminthes (Flatworms)","Platyhelminthes","Removed suffix"
"Plecoptera","Plecoptera","Added in case MI EGLE drops suffixs from database"
"Plecoptera (Stoneflies)","Plecoptera","Removed suffix"
"Pleidae","Pleidae",
"Pleuroceridae","Pleuroceridae",
"Polycentropodidae","Polycentropodidae",
"Polymitarcyidae","Polymitarcyidae",
"Pomatiopsidae","Pomatiopsidae",
"Porifera","Porifera","Added in case MI EGLE drops suffixs from database"
"Porifera (Sponges)","Porifera","Removed suffix"
"Potamanthidae","Potamanthidae",
"Psephenidae","Psephenidae","Added in case MI EGLE drops suffixs from database"
"Psephenidae (Larvae)","Psephenidae","Removed Larvae suffix"
"Pseudironidae","Pseudironidae",
"Psychodidae","Psychodidae",
"Psychomyiidae","Psychomyiidae",
"Pteronarcyidae","Pteronarcyidae",
"Ptilodactylidae","Ptilodactylidae","Added in case MI EGLE drops suffixs from database"
"Ptilodactylidae (Larvae)","Ptilodactylidae","Removed Larvae suffix"
"Ptychopteridae","Ptychopteridae",
"Pyralidae","Pyralidae",
"Rhyacophilidae","Rhyacophilidae",
"Saldidae","Saldidae",
"Sciomyzidae","Sciomyzidae",
"Scirtidae","Scirtidae","Added in case MI EGLE drops suffixs from database"
"Scirtidae (Larvae)","Scirtidae","Removed Larvae suffix"
"Sericostomatidae","Sericostomatidae",
"Sialidae","Sialidae","Added in case MI EGLE drops suffixs from database"
"Sialidae (Alder Flies)","Sialidae","Removed suffix"
"Simulidae","Simuliidae","Misspelling in EGLE database"
"Simuliidae","Simuliidae","Added in case MI EGLE drops suffixs from database"
"Siphlonuridae","Siphlonuridae",
"Sisyridae","Sisyridae",
"Stratiomyidae","Stratiomyidae",
"Syrphidae","Syrphidae",
"Tabanidae","Tabanidae",
"Taeniopterygidae","Taeniopterygidae",
"Thaumaleidae","Thaumaleidae",
"Tipulidae","Tipulidae",
"Trichoptera","Trichoptera","Added in case MI EGLE drops suffixs from database"
"Trichoptera (Caddisflies)","Trichoptera","Removed suffix"
"Tricorythidae","Tricorythidae",
"Turbellaria","Turbellaria",
"Uenoidae","Uenoidae",
"Unionidae","Unionidae","Added in case MI EGLE drops suffixs from database"
"Unionidae (Mussels)","Unionidae","Removed suffix"
"Valvatidae","Valvatidae",
"Veliidae","Veliidae",
"Viviparidae","Viviparidae",
"Zygoptera","Zygoptera","Added in case MI EGLE drops suffixs from database"
"Zygoptera (Damselflies)","Zygoptera","Removed suffix"
