"TAXAID","PHYLUM","SUBPHYLUM","CLASS","SUBCLASS","ORDER","FAMILY","FFG","TOLVAL","HABIT","NONTARGET"
"Gelastocoridae","Arthropoda",,"Insecta",,"Hemiptera","Gelastocoridae","PR",,"BU;SP",FALSE
"Gerridae","Arthropoda",,"Insecta",,"Hemiptera","Gerridae","PR",5.7,"SK",FALSE
"Glossosomatidae","Arthropoda",,"Insecta",,"Trichoptera","Glossosomatidae","SC",0.6,"CN",FALSE
"Goeridae","Arthropoda",,"Insecta",,"Trichoptera","Goeridae",,,,FALSE
"Gomphidae","Arthropoda",,"Insecta",,"Odonata","Gomphidae","PR",4,"BU",FALSE
"Helicopsychidae","Arthropoda",,"Insecta",,"Trichoptera","Helicopsychidae","SC",2,"BU",FALSE
"Hemiptera","Arthropoda",,"Insecta",,"Hemiptera",,,7.3,,FALSE
"Heptageniidae","Arthropoda",,"Insecta",,"Ephemeroptera","Heptageniidae","SC",1.9,"CN",FALSE
"Heteroceridae","Arthropoda",,"Insecta",,"Coleoptera","Heteroceridae",,,,FALSE
"Hirudinea","Annelida",,"Hirudinea","Hirudinea",,,"PR",,"SP",FALSE
"Hydracarina","Arthropoda",,"Arachnida",,,,"PR",5.5,,FALSE
"Hydraenidae","Arthropoda",,"Insecta",,"Coleoptera","Hydraenidae","SC",4.5,"CN",FALSE
"Hydrobiidae","Mollusca",,"Gastropoda",,"Neotaenioglossa","Hydrobiidae","SC",6.9,"CN",FALSE
"Hydrometridae","Arthropoda",,"Insecta",,"Hemiptera","Hydrometridae",,,,FALSE
"Hydrophilidae","Arthropoda",,"Insecta",,"Coleoptera","Hydrophilidae","PR",5.4,"BU;SW",FALSE
"Hydropsychidae","Arthropoda",,"Insecta",,"Trichoptera","Hydropsychidae","CF",2.7,"CN",FALSE
"Hydroptilidae","Arthropoda",,"Insecta",,"Trichoptera","Hydroptilidae","SC",4,"CN",FALSE
"Insecta","Arthropoda",,"Insecta",,,,,,,FALSE
"Isonychiidae","Arthropoda",,"Insecta",,"Ephemeroptera","Isonychiidae","CF",2.8,"SW",FALSE
"Isopoda","Arthropoda","Crustacea","Crustacea",,"Isopoda",,"SH",7.6,,FALSE
"Lepidoptera","Arthropoda",,"Insecta",,"Lepidoptera",,"SH",4.6,,FALSE
"Lepidostomatidae","Arthropoda",,"Insecta",,"Trichoptera","Lepidostomatidae","SH",1,"CB",FALSE
"Leptoceridae","Arthropoda",,"Insecta",,"Trichoptera","Leptoceridae","SH",3.6,"SP;SW",FALSE
"Leptophlebiidae","Arthropoda",,"Insecta",,"Ephemeroptera","Leptophlebiidae","CG",2.3,"CN;SW",FALSE
"Lestidae","Arthropoda",,"Insecta",,"Odonata","Lestidae","PR",6.9,"CB",FALSE
"Leuctridae","Arthropoda",,"Insecta",,"Plecoptera","Leuctridae","SH",0.6,"SP",FALSE
"Libellulidae","Arthropoda",,"Insecta",,"Odonata","Libellulidae","PR",9.2,"CB;SP",FALSE
"Limnephilidae","Arthropoda",,"Insecta",,"Trichoptera","Limnephilidae","SH",2.8,"SP",FALSE
"Lymnaeidae","Mollusca",,"Gastropoda",,"Basommatophora","Lymnaeidae","SC",6.4,"CB",FALSE
"Macromiidae","Arthropoda",,"Insecta",,"Odonata","Macromiidae","PR",3,,FALSE
"Megaloptera","Arthropoda",,"Insecta",,"Megaloptera",,"PR",5,,FALSE
"Mesoveliidae","Arthropoda",,"Insecta",,"Hemiptera","Mesoveliidae","PR",,"SK",FALSE
"Metretopodidae","Arthropoda",,"Insecta",,"Ephemeroptera","Metretopodidae","CG",2.7,"SW",FALSE
"Molannidae","Arthropoda",,"Insecta",,"Trichoptera","Molannidae","SC",5.2,"SP",FALSE
"Mollusca","Mollusca",,,,,,,,,FALSE
"Muscidae","Arthropoda",,"Insecta",,"Diptera","Muscidae","PR",5.5,"BU",FALSE
"Naucoridae","Arthropoda",,"Insecta",,"Hemiptera","Naucoridae","PR",6,"CB",FALSE
